indx,city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
1,chic,31.5,31.5,1/1/87,NA,34,4.25,19.98809524
2,chic,33,29.875,1/2/87,NA,NA,3.304347826,23.19099379
3,chic,33,27.375,1/3/87,NA,34.16666667,3.333333333,23.81547619
4,chic,29,28.625,1/4/87,NA,47,4.375,30.43452381
5,chic,32,28.875,1/5/87,NA,NA,4.75,30.33333333
6,chic,40,35.125,1/6/87,NA,48,5.833333333,25.77233067
7,chic,34.5,26.75,1/7/87,NA,41,9.291666667,20.58170996
8,chic,29,22,1/8/87,NA,36,11.29166667,17.03723086
9,chic,26.5,29,1/9/87,NA,33.28571429,4.5,23.38888889
10,chic,32.5,27.75,1/10/87,NA,NA,4.958333333,19.54166667
11,chic,29.5,20.125,1/11/87,NA,22,17.54166667,13.70138889
12,chic,34.5,26,1/12/87,NA,26,8,33.02083333
13,chic,34,32.25,1/13/87,NA,53,4.958333333,38.06141775
14,chic,37.5,36.375,1/14/87,NA,43,4.208333333,32.19444444
15,chic,32.5,24.25,1/15/87,NA,28.83333333,4.458333333,18.87130952
16,chic,25,21.5,1/16/87,NA,19,7.916666667,19.46666667
17,chic,27,24.75,1/17/87,NA,NA,5.833333333,20.70833333
18,chic,17.5,11.125,1/18/87,NA,39,6.375,21.03333333
19,chic,23,15.75,1/19/87,NA,32,14.875,17.1740942
20,chic,20.5,11.5,1/20/87,NA,38,7.25,21.6102108
21,chic,22,20.625,1/21/87,NA,32.85714286,8.913043478,24.52083333
22,chic,19.5,7.375,1/22/87,NA,52,10.5,16.9879776
23,chic,2.5,-12.25,1/23/87,NA,55,14.625,14.6625
24,chic,2,-5.625,1/24/87,NA,38,10.08333333,18.69166667
25,chic,9.5,-5.25,1/25/87,NA,NA,6.666666667,26.30416667
26,chic,16,4.75,1/26/87,NA,71,4.583333333,32.42142857
27,chic,17.5,17.75,1/27/87,NA,39.33333333,6,30.69305556
28,chic,29.5,18.25,1/28/87,NA,47,6.875,29.12942834
29,chic,29.5,32.875,1/29/87,NA,35,2.916666667,28.14528986
30,chic,32.5,24.125,1/30/87,NA,59,8.791666667,19.79861111
31,chic,27.5,26.5,1/31/87,NA,36,10.375,25.26736111
32,chic,41,32.25,2/1/87,NA,NA,8.041666667,21.70138889
33,chic,36.5,34,2/2/87,NA,41.16666667,6.041666667,30.78472222
34,chic,34,26.25,2/3/87,NA,59,8.041666667,20.14614899
35,chic,31.5,24.25,2/4/87,NA,37,10.5,29.99927536
36,chic,29.5,27.25,2/5/87,NA,70,5.729166667,38.90909091
37,chic,37,30.375,2/6/87,NA,63,6.414855073,27.994709
38,chic,40.5,35.75,2/7/87,NA,44,5.75,25.09027778
39,chic,32.5,3.5,2/8/87,NA,18.25,24.9375,10.6468254
40,chic,24.5,17.375,2/9/87,NA,42,9.208333333,25.57986111
41,chic,35,27.375,2/10/87,NA,36,8.3125,31.32745938
42,chic,39.5,29.375,2/11/87,NA,83,8.121541502,42.00112538
43,chic,34,24.75,2/12/87,NA,84,7.6875,34.99305556
44,chic,34.5,30.875,2/13/87,NA,39,10.36956522,33.43085749
45,chic,31.5,22,2/14/87,NA,24.85714286,11.16666667,21.24305556
46,chic,23.5,10.125,2/15/87,NA,12,28.10416667,10.49097222
47,chic,24,18.125,2/16/87,NA,14,24.1875,15.85416667
48,chic,31.5,20.25,2/17/87,NA,23,24.9375,19.18055556
49,chic,31.5,20,2/18/87,NA,27,24.17028986,29.86011905
50,chic,34,19.625,2/19/87,NA,49,15.50181159,44.48067633
51,chic,32.5,17,2/20/87,NA,69.85714286,8.5,51.25324675
52,chic,38,24.5,2/21/87,NA,59,4.583333333,41.38194444
53,chic,35.5,25.125,2/22/87,NA,46,10.83333333,21.86111111
54,chic,35.5,24.75,2/23/87,NA,47,13.04166667,32.5625
55,chic,31.5,25.25,2/24/87,NA,48,13.22916667,36.47743742
56,chic,34.5,21.875,2/25/87,NA,48,17.125,38.13771645
57,chic,36,18.5,2/26/87,NA,29,16,32.85416667
58,chic,39.5,28.25,2/27/87,NA,56,14.20833333,33.69196429
59,chic,40,38.375,2/28/87,NA,31,6.875,23.45833333
60,chic,39,28.375,3/1/87,NA,15,15.62083333,18.61458333
61,chic,41,27.875,3/2/87,NA,36,20.8125,21.63194444
62,chic,36.5,14.875,3/3/87,NA,32,19.75,28.57820843
63,chic,38,26.75,3/4/87,NA,39.42857143,5.5,38.40972222
64,chic,44,34.375,3/5/87,NA,30,13.58333333,29.38888889
65,chic,48.5,39.5,3/6/87,NA,76,9.076086957,47.16998792
66,chic,59.5,36.875,3/7/87,NA,49,25.41666667,41.74305556
67,chic,54.5,33.625,3/8/87,NA,61,31.16666667,39.04513889
68,chic,31,14,3/9/87,NA,25,29.83333333,12.46938131
69,chic,25.5,13.625,3/10/87,NA,19.57142857,28.375,19.74716336
70,chic,28.5,17,3/11/87,NA,38,19.77083333,29.90609903
71,chic,33.5,22.375,3/12/87,NA,72,20.4375,41.12752525
