structure,mp,rings,heavy atoms,single bonds,triple bonds,reactive,molar mass,refractivity,formal charge,logP,tpsa,dipole moment,energy,density,volume,PCA1,PCA2
O=C1Cc2ccccc21,14,6,9,9,0,0,118.13499,3.5572324,0,1.42537,17.07,2.7227166,-57.766014,0.95898527,123.1875,15.5507,1.6219
Clc1ccc(cc1)C1c2c(OC(N)=C1C#N)[nH][nH0]c2C(F)(F)F,20.5,11,23,20,1,0,340.69199,7.7298865,0,3.6378839,87.720001,6.3207178,-189.06262,1.2962539,262.82812,1.9216,0.5024
O=C(OC)C(=Cc1ccccc1)Cc1ccccc1,27.5,12,19,22,0,0,252.31299,7.7993441,0,3.4856701,26.299999,1.911006,-123.45357,0.94632161,266.625,2.9803,2.7226
FC(F)(F)c1[nH0]cc2ccccc2c1,30.5,10,14,10,0,0,197.159,4.7291932,0,3.5651,12.89,5.2036252,-119.71445,1.1952425,164.95312,11.0316,1.8263
O=C(OC1Cc2ccccc21)C,31,6,12,16,0,1,162.188,4.6511531,0,1.9423701,26.299999,1.7598478,-83.474678,0.97823316,165.79688,10.971,-0.9051
O=C(OC)C1=Cc2ccccc2C1C,31.5,6,14,19,0,0,188.226,5.5333524,0,2.3601,26.299999,2.0467196,-95.119629,0.97416008,193.21875,8.97,0.3246
O=C(C)c1cccc(c1)C(=O)C,32,6,12,14,0,0,162.188,4.7723527,0,2.0918,34.139999,5.3303537,-83.522888,0.96837687,167.48438,10.3133,0.7506
O=C(OC)[nH0]1[nH0]c(C)cc1,32.5,5,10,12,0,0,140.142,3.6829855,0,0.80602002,44.119999,0.41135263,-75.668877,1.025273,136.6875,12.8727,-4.0669
Nc1ccccc1CCc1ccccc1N,33,12,16,21,0,0,212.29599,6.7096963,0,2.6361401,52.040001,0.69427013,-96.69281,0.9132852,232.45312,5.6436,3.5989
c1ccc2c(c1)CCc1ccccc12,34,12,14,16,0,0,180.25,5.9094687,0,3.4521401,0,0.37148082,-79.932259,0.90906221,198.28125,8.5237,6.659
O=C1Cc2cccc(OC)c21,35,6,11,13,0,0,148.161,4.1979575,0,1.43397,26.299999,3.5785794,-76.967438,0.97826308,151.45312,12.4467,0.4623
O=C(C)CCc1oc2ccc(OC)cc2c1c1oc(C)cc1,35.5,14,22,26,0,1,298.33798,8.487114,0,4.5313902,52.580002,2.5691876,-155.37418,1.0145934,294.04688,0.4655,2.5783
O=C(OCC)c1[nH0][nH0](Cc2ccccc2)c(C)c1,37,11,18,23,0,0,244.29399,7.1340847,0,2.68292,44.119999,4.2657528,-122.11575,0.97980922,249.32812,3.6974,1.0016
O=C(O)C(C)Cc1ccccc1,37.200001,6,12,17,0,0,164.20399,4.8384042,0,1.94977,37.299999,4.1596141,-84.892799,0.94471914,173.8125,9.4371,-1.972
Cc1cc2CCc2c(C)c1C,37.5,6,11,20,0,0,146.233,4.7685595,0,2.7104001,0,0.21822236,-65.855301,0.83123827,175.92188,10.7586,4.959
OC1Cc2cc(OC)ccc21,38,6,11,16,0,0,150.177,4.2431846,0,1.38017,29.459999,2.064827,-78.327431,0.97260958,154.40625,11.9569,-0.3618
O=C1C(C)C2CCC1(C)C2(C)C,38,0,12,30,0,0,166.26399,4.9038696,0,2.6477001,17.07,0.26619917,-81.254967,0.8797037,189,10.7727,3.066
O=[N+]([O-])c1cc(ccc1C=NCC(OCC)OCC)C=NCC(OCC)OCC,38,6,29,51,0,0,409.483,11.075198,0,3.2307999,107.46,4.0444155,-220.84607,1.0110691,405,-11.4374,-2.1659
O=C(O)C1(C)CCCCC1,38.200001,0,10,23,0,0,142.198,3.9634869,0,2.0414,37.299999,4.1500545,-76.001251,0.9548496,148.92188,11.7554,-2.9773
O=C(OCC)c1[nH0]cc(OC)cc1,39,6,13,17,0,0,181.19099,4.9196095,0,1.2668999,48.419998,4.8365793,-98.8125,1.0058309,180.14062,8.1608,-3.0686
N#CC1=Cc2ccccc2C1,39.799999,6,11,11,1,0,141.173,4.4763436,0,2.1496539,23.790001,3.5912004,-63.00737,0.91931945,153.5625,12.553,4.0681
O=C(OC)c1ccc(N2N=N2)cc1,40,6,13,13,0,0,177.16299,4.5913391,0,1.5754,54.029999,6.7448721,-92.063301,1.1168668,158.625,10.7613,-1.825
Fc1cccc2CC(=O)c21,40.5,6,10,9,0,0,136.125,3.605546,0,1.83577,17.07,3.8560805,-76.188515,1.0719823,126.98438,14.2167,-0.2602
ClC1Cc2cc(OC)c(C)cc21,41,6,12,18,0,1,182.64999,5.0420504,0,2.9350901,9.2299995,2.0263984,-85.145592,1.0021948,182.25,10.9381,4.1007
O=C(Oc1ccccc1)C1CC2(C)CCC1C2(C)C,41,6,19,36,0,1,258.36099,7.5997186,0,4.0544,26.299999,2.3253131,-127.51878,0.95839006,269.57812,3.1692,3.2598
[Si](OC(=C)c1c(C)c(C)c(C)c(C)c1C)(C)(C)C,41,6,18,37,0,0,262.46799,8.6182995,0,5.0509,9.2299995,1.0041658,-115.59626,0.85459661,307.125,2.0032,6.0598
O=C(O)C(C)c1ccc(C)cc1,41,6,12,17,0,0,164.20399,4.816957,0,2.18312,37.299999,4.6933737,-84.902184,0.95632505,171.70312,9.599,-1.928
OCc1[nH0][nH0](C)c(C)c1,41,5,9,14,0,0,126.159,3.5526929,0,0.84641999,38.049999,4.2109313,-64.289803,0.95236802,132.46875,13.4577,-1.5406
O=C(O)CCC(C)c1ccc(C)cc1,41.5,6,14,23,0,0,192.258,5.7465672,0,2.96332,37.299999,4.4757857,-97.870422,0.92815202,207.14062,6.8055,-0.9482
O(CCCCC)c1ccc(N=Nc2ccc(cc2)CCCC)cc1,41.799999,12,24,40,0,0,324.46799,10.188725,0,7.0135698,33.950001,1.009696,-153.38864,0.89744377,361.54688,-4.354,7.4058
O=C(OC1Cc2ccccc21)Cc1ccccc1,42,12,18,21,0,1,238.286,7.1529312,0,3.1651399,26.299999,3.9493952,-116.9444,0.99616587,239.20312,4.7671,2.4767
O=C(OC1CC(C)CCC1C(C)C)C(Cc1ccccc1)Cc1ccccc1,42.5,12,28,51,0,1,378.556,11.723754,0,6.0919399,26.299999,1.707382,-181.82889,0.90092158,420.1875,-6.7828,6.4758
N1=NC(C)=C(CC)C1C,42.5,0,9,18,0,1,123.179,3.719048,0,1.82129,24.719999,3.656842,-57.324009,0.89564371,137.53125,13.5566,2.4715
O=C1Cc2cc(OC)c(cc21)C(C)C,43,6,14,22,0,0,190.24199,5.5546579,0,2.5573699,26.299999,3.4458029,-96.422897,0.94142795,202.07812,8.7059,1.9378
C1=CC2c3ccccc3C1C12CC1,43,6,13,21,0,0,168.239,5.2429304,0,3.2174001,0,0.215,-74.690132,0.92957747,180.98438,10.0992,5.8969
SCC(O)C(O)CS,43,0,8,17,0,1,154.254,3.802494,0,-0.88819999,118.06,2.0010185,-68.869957,1.1681761,132.04688,11.1156,-5.4044
O=C1CCC2(C)C=3CCC4(C)CCCC4C=3CCC2C1,43.799999,0,20,49,0,0,272.43201,8.1582804,0,5.0524998,17.07,2.9649289,-129.15402,0.9146809,297.84375,2.7189,5.6617
OC(C)CCc1ccc(cc1)CCC(O)C,44,6,16,32,0,0,222.32799,6.7104325,0,2.3133399,40.459999,1.2494715,-112.16618,0.89170843,249.32812,3.5888,1.0998
o1c(cc(c2ccccc2)c1C)c1ccccc1,44,17,18,17,0,0,234.29799,7.4695268,0,4.92202,13.14,0.31814149,-109.35571,0.89432049,261.98438,5.5221,7.0244
O=C(OC)C1(C)CCC(CCc2ccccc2)C1(C)C,44,6,20,40,0,1,274.40399,8.2849722,0,4.2346702,26.299999,1.6924601,-135.38696,0.91225678,300.79688,0.8162,3.598
Fc1ccc(NC(=O)C(C)(C(F)(F)F)C(F)(F)F)c(F)c1F,44,6,22,21,0,0,339.15698,5.5356956,0,4.9871998,29.1,2.9187863,-252.20604,1.5400914,220.21875,2.1082,-3.2757
O=C1OC(OC)c2ccccc21,44,6,12,14,0,0,164.15999,4.3639331,0,1.5975,35.529999,4.2917237,-89.765968,1.069011,153.5625,10.8784,-1.93
O=C1CC(c2ccccc21)C(=O)OC,44.5,6,14,17,0,1,190.198,5.2156219,0,1.5296,43.369999,1.938632,-101.39577,1.0460317,181.82812,8.6417,-2.3088
O=[N+]([O-])c1ccccc1O,44.5,6,10,8,0,0,139.11,3.4237249,0,1.3004,66.050003,6.0154891,-79.270485,1.1449382,121.5,12.7777,-6.117
O=C1OOC(=O)C1(C)C,44.5,0,9,13,0,1,130.099,2.8051159,0,0.0276,52.599998,2.6289141,-80.558998,1.2046204,108,13.7101,-6.9874
O=C1C(=C)C2CCC1(C)C2(C)C,44.799999,0,12,27,0,0,164.248,4.8576775,0,2.5678,17.07,2.614651,-79.950089,0.87489569,187.73438,11.1215,2.9959
C1=CC2(CC2)C2C1C1C=CC2C21CC2,45,0,14,32,0,0,184.282,5.4954333,0,3.1647999,0,1.4502238,-82.221352,0.89328545,206.29688,9.104,5.571
CC(C)CC1c2ccccc2c2ccccc21,45,12,17,25,0,0,222.33099,7.2513747,0,4.8449998,0,0.33065391,-99.368889,0.89474839,248.48438,4.8784,7.3349
Clc1cc(Cl)c([N+](=O)[O-])c(c1)C(Cl)Cl,45,6,14,10,0,0,274.918,5.5548635,0,4.5258999,45.82,4.0908151,-125.26977,1.4259464,192.79688,8.9745,0.1348
OCc1[nH0][nH0](c2[nH0]cccc2)c(C)c1,45,11,14,15,0,0,189.218,5.4316878,0,1.33442,50.939999,5.1406794,-92.507156,1.0147437,186.46875,8.4656,-0.0484
O=C1Cc2ccc(C)cc21,45.5,6,10,12,0,0,132.162,4.0031233,0,1.73379,17.07,2.8522773,-64.257889,0.94359303,140.0625,14.2326,1.9824
O=C(OC1CC(C)CCC1C(C)C)C(=O)C=Cc1ccccc1,45.5,6,23,41,0,1,314.42499,9.3071556,0,4.2729001,43.369999,3.562207,-158.35518,0.95185655,330.32812,-2.3301,1.9043
O=[N+]([O-])c1cc(ccc1C(=O)C)C(=O)C,46,6,15,15,0,0,207.185,5.3064208,0,2,79.959999,2.7705307,-115.22737,1.1085895,186.89062,7.1468,-4.3193
ClCCc1ccc(cc1)CCCl,46.5,6,12,18,0,1,203.112,5.5614614,0,3.24914,0,0.18060455,-86.887993,1.0093305,201.23438,8.3559,4.75
O=CNN(C)c1ccccc1,46.799999,6,11,14,0,1,150.181,4.4149528,0,0.78380001,32.34,2.9874043,-74.521561,0.9569478,156.9375,10.3648,-2.734
OC(CCCc1ccccc1)c1ccccc1,47,12,17,24,0,0,226.319,7.2425733,0,3.8383701,20.23,1.3573408,-106.95899,0.90925395,248.90625,4.564,4.7663
[Si](C)(C)(C)C#CC1(O)Cc2ccccc21,47.200001,6,15,25,1,0,216.355,6.9797645,0,2.6225779,20.23,2.2130806,-93.302803,0.91742659,235.82812,6.7891,3.4482
O=C(N(CC)CC)c1ccccc1CC(=O)c1ccccc1C,47.200001,12,23,33,0,0,309.409,9.4679356,0,3.90239,37.380001,2.6787529,-150.63715,0.92954868,332.85938,-1.7818,2.8187
O=C1Cc2cc(C)cc(C)c21,47.5,6,11,15,0,0,146.189,4.4501791,0,2.0422101,17.07,2.9368973,-70.748482,0.90475738,161.57812,12.9017,2.3397
O=C(O)CCCc1ccccc1,48,6,12,17,0,0,164.20399,4.8627081,0,2.0938699,37.299999,4.005661,-84.893806,0.95632505,171.70312,9.1228,-2.1518
O=C(OC)c1cc2ccccc2cc1C(=O)OC,48.5,10,18,18,0,0,244.24599,6.7516179,0,2.4130001,52.599998,1.7121521,-130.86237,1.0903078,224.01562,3.9516,-2.5206
