,year,state,fips,deaths,population,crude,adjusted,adjusted_se,region,abbr,division_name
1,1999,Alabama,1,37,4430141,0.8,0.8,0.1,South,AL,East South Central
2,1999,Alaska,2,27,624779,4.3,4,0.8,West,AK,Pacific
3,1999,Arizona,4,229,5023823,4.6,4.7,0.3,West,AZ,Mountain
4,1999,Arkansas,5,28,2651860,1.1,1.1,0.2,South,AR,West South Central
5,1999,California,6,1474,33499204,4.4,4.5,0.1,West,CA,Pacific
6,1999,Colorado,8,164,4226018,3.9,3.7,0.3,West,CO,Mountain
7,1999,Connecticut,9,151,3386401,4.5,4.4,0.4,Northeast,CT,New England
8,1999,Delaware,10,32,774990,4.1,4.1,0.7,South,DE,South Atlantic
9,1999,District of Columbia,11,28,570213,4.9,4.9,0.9,South,DC,South Atlantic
10,1999,Florida,12,402,15759421,2.6,2.6,0.1,South,FL,South Atlantic
11,1999,Georgia,13,83,8045965,1,1,0.1,South,GA,South Atlantic
12,1999,Hawaii,15,30,1210300,2.5,2.4,0.4,West,HI,Pacific
13,1999,Idaho,16,31,1275674,2.4,2.5,0.5,West,ID,Mountain
14,1999,Illinois,17,483,12359020,3.9,3.9,0.2,Midwest,IL,East North Central
15,1999,Indiana,18,46,6044969,0.8,0.8,0.1,Midwest,IN,East North Central
16,1999,Iowa,19,14,2917634,NA,NA,0.1,Midwest,IA,West North Central
17,1999,Kansas,20,25,2678338,0.9,1,0.2,Midwest,KS,West North Central
18,1999,Kentucky,21,52,4018053,1.3,1.3,0.2,South,KY,East South Central
19,1999,Louisiana,22,28,4460811,0.6,0.7,0.1,South,LA,West South Central
20,1999,Maine,23,27,1266808,2.1,2.1,0.4,Northeast,ME,New England
21,1999,Maryland,24,487,5254509,9.3,8.8,0.4,South,MD,South Atlantic
22,1999,Massachusetts,25,326,6317345,5.2,5,0.3,Northeast,MA,New England
23,1999,Michigan,26,121,9897116,1.2,1.2,0.1,Midwest,MI,East North Central
24,1999,Minnesota,27,57,4873481,1.2,1.2,0.2,Midwest,MN,West North Central
25,1999,Mississippi,28,15,2828408,NA,NA,0.1,South,MS,East South Central
26,1999,Missouri,29,100,5561948,1.8,1.8,0.2,Midwest,MO,West North Central
27,1999,Montana,30,16,897507,NA,NA,0.5,West,MT,Mountain
28,1999,Nevada,32,153,1934718,7.9,7.8,0.6,West,NV,Mountain
29,1999,New Hampshire,33,40,1222014,3.3,3.2,0.5,Northeast,NH,New England
30,1999,New Jersey,34,323,8359592,3.9,3.8,0.2,Northeast,NJ,Middle Atlantic
31,1999,New Mexico,35,180,1808082,10,10.2,0.8,West,NM,Mountain
32,1999,New York,36,621,18882725,3.3,3.2,0.1,Northeast,NY,Middle Atlantic
33,1999,North Carolina,37,159,7949361,2,2,0.2,South,NC,South Atlantic
34,1999,Ohio,39,164,11335454,1.4,1.5,0.1,Midwest,OH,East North Central
35,1999,Oklahoma,40,89,3437147,2.6,2.7,0.3,South,OK,West South Central
36,1999,Oregon,41,120,3393941,3.5,3.5,0.3,West,OR,Pacific
37,1999,Pennsylvania,42,320,12263805,2.6,2.7,0.1,Northeast,PA,Middle Atlantic
38,1999,Rhode Island,44,35,1040402,3.4,3.4,0.6,Northeast,RI,New England
39,1999,South Carolina,45,48,3974682,1.2,1.2,0.2,South,SC,South Atlantic
40,1999,Tennessee,47,89,5638706,1.6,1.6,0.2,South,TN,East South Central
41,1999,Texas,48,351,20558220,1.7,1.7,0.1,South,TX,West South Central
42,1999,Utah,49,141,2203482,6.4,7.3,0.6,West,UT,Mountain
43,1999,Vermont,50,15,604683,NA,NA,0.6,Northeast,VT,New England
44,1999,Virginia,51,201,7000174,2.9,2.7,0.2,South,VA,South Atlantic
45,1999,Washington,53,353,5842564,6,5.9,0.3,West,WA,Pacific
46,1999,West Virginia,54,33,1811799,1.8,1.8,0.3,South,WV,South Atlantic
47,1999,Wisconsin,55,83,5332666,1.6,1.6,0.2,Midwest,WI,East North Central
48,2000,Alabama,1,43,4447100,1,1,0.2,South,AL,East South Central
49,2000,Alaska,2,27,626932,4.3,4,0.8,West,AK,Pacific
50,2000,Arizona,4,235,5130632,4.6,4.8,0.3,West,AZ,Mountain
51,2000,Arkansas,5,20,2673400,0.7,0.8,0.2,South,AR,West South Central
52,2000,California,6,1012,33871648,3,3,0.1,West,CA,Pacific
53,2000,Colorado,8,174,4301261,4,3.9,0.3,West,CO,Mountain
54,2000,Connecticut,9,165,3405565,4.8,4.8,0.4,Northeast,CT,New England
55,2000,Delaware,10,29,783600,3.7,3.7,0.7,South,DE,South Atlantic
56,2000,District of Columbia,11,43,572059,7.5,7.7,1.2,South,DC,South Atlantic
57,2000,Florida,12,556,15982378,3.5,3.6,0.2,South,FL,South Atlantic
58,2000,Georgia,13,115,8186453,1.4,1.4,0.1,South,GA,South Atlantic
