,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
ABACAVIR,3.233,1.934,1.387,0.4099,4.705,5.55,-0.4411,1,286.3,3,7,101.9,0.1667,4
ABARELIX,2.149,3.889,1.39,4.289,5.026,1.688,-1.072,1,1416,13,28,425,0.4528,48
ACAMPROSATE,6.357,3.807,-1.919,-1.844,3.866,3.551,-0.4696,0,181.2,2,5,83.47,0.5,5
ACARBOSE,5.397,5.134,-2.496,-0.9174,5.223,2.631,-1.586,1,645.6,14,19,321.2,0.1915,9
ACEBUTOLOL,3.491,2.946,1.71,-0.08998,4.396,4.696,-0.15,1,336.4,3,6,87.66,0.4583,11
ACETAMI0PHEN,4.97,4.97,0.4711,0.4711,4.02,4.044,-0.3943,0,151.2,2,3,49.33,0.1818,2
ACETAZOLAMIDE,4.998,4.998,-0.2751,-0.2751,3.775,3.96,-0.52,0,222.2,2,7,115,0.2308,3
ACETIC ACID,7.22,3.847,0.3444,-2.88,4.104,2.853,-0.805,0,60.05,1,2,37.3,0,0
ACETOHEXAMIDE,2.375,3.019,2.44,0.4144,4.359,4.981,-0.5221,0,324.4,2,6,92.34,0.2609,6
ACETOHYDROXAMIC ACID,6.755,3.267,-0.9558,-1.171,3.944,3.093,-0.1497,0,75.07,2,3,49.33,0.25,1
ACETOPHENAZINE,2.342,2.429,3.343,2.62,5.175,6.862,0.5806,1,411.6,1,5,47.02,0.2188,7
ACETRIZOATE,3.36,3.894,2.35,-0.2388,4.667,3.481,-0.6355,0,556.9,2,4,66.4,0.1875,3
ACETYLCHOLINE,6.893,2.858,1.179,-1.126,4.114,4.538,-0.06427,0,146.2,0,3,26.3,0.4444,4
ACETYLCYSTEINE,5.611,3.965,-0.6938,-2.2,3.932,2.39,-0.7815,0,163.2,2,4,66.4,0.4444,4
ACETYLDIGITOXIN,0.6742,0.6742,3.424,3.424,5.047,4.503,-1.213,1,807,4,14,188.9,0.1406,9
ACITRETIN,1.796,2.709,4.766,1.022,5.193,4.45,-0.5552,0,326.4,1,3,46.53,0.25,6
ACRISORCIN,3.625,3.625,3.45,3.45,4.158,5.044,-0.2687,0,194.3,2,2,40.46,0.3571,5
ACRIVASTINE,2.165,2.038,3.415,0.3493,5.274,4.845,-1.288,1,348.4,1,4,53.43,0.2143,6
ACYCLOVIR,3.86,3.137,-1.649,-1.397,3.81,4.273,-1.216,1,225.2,3,8,119.1,0.2353,4
ADAPALENE,-1.04,0.6977,6.224,2.592,5.402,5.184,-0.6463,1,412.5,1,3,46.53,0.1111,4
ADEFOVIR DIPIVOXIL,2.022,2.826,2.381,2.125,4.767,5.02,-0.8924,1,501.5,1,13,167,0.4286,15
ADE0SINE,4.587,2.612,-1.05,-1.552,4.334,4.081,-1.383,0,267.2,4,9,139.5,0.09524,2
ALATROFLOXACIN,0.2647,2.185,-0.5565,0.3956,5.686,3.362,-1.811,1,558.5,4,11,159.6,0.2045,9
ALBENDAZOLE,2.075,2.075,2.645,2.645,4.162,4.433,-0.8234,0,265.3,2,5,67.01,0.3158,6
ALBUTEROL,3.88,2.599,0.5106,-1.11,4.358,4.326,-1.27,0,239.3,4,4,72.72,0.2941,5
ALCLOMETASONE DIPROPIONATE,0.7729,0.7729,3.672,3.672,5.167,4.329,-0.8049,1,521,1,7,107,0.2051,8
ALENDRONATE,5.95,4.806,-0.2957,-3.744,3.97,2.583,-1.186,0,249.1,6,8,161.3,0.3846,5
ALFENTANIL,4.104,3.121,2.16,-1.074,4.396,6.063,-0.3624,1,416.5,0,9,85.49,0.3125,10
ALFUZOSIN,2.851,2.25,1.838,1.205,4.978,4.805,-0.7517,1,389.5,2,9,111.8,0.3,9
ALITRETI0IN,2.208,2.149,4.594,0.8967,4.84,4.733,-0.494,0,300.4,1,2,37.3,0.2273,5
ALLOPURI0L,3.62,3.62,-0.3745,-0.3745,3.92,4.037,-1.289,1,136.1,2,5,74.69,0,0
ALMOTRIPTAN,3.285,2.408,2.225,0.06591,4.691,5.833,-0.7655,1,335.5,1,5,56.41,0.24,6
ALOSETRON,2.181,2.181,2.643,2.643,5.413,5.08,-0.4682,0,294.4,1,5,53.92,0.08,2
ALPHA-TOCOPHEROL,-0.4552,-0.4552,8.636,8.636,5.204,6.393,0.4829,1,430.7,1,2,29.46,0.375,12
ALPRAZOLAM,1.774,1.774,2.12,2.12,5.635,4.892,-0.3151,0,308.8,0,4,43.07,0.04,1
ALPROSTADIL,2.216,2.717,3.414,-0.4665,4.384,4.518,-1.094,1,354.5,3,5,94.83,0.52,13
ALTRETAMINE,2.64,3.226,2.73,0.8156,4.177,5.033,0.3946,0,210.3,0,6,48.39,0.2,3
AMANTADINE,4.781,2.737,2.44,-0.2159,4.208,4.254,-0.3967,0,151.2,1,1,26.02,0,0
AMBE0NIUM,3.278,1.731,4.759,1.801,5.112,5.649,-0.629,1,537.6,2,6,58.2,0.4595,17
AMCI0NIDE,1.002,1.002,2.854,2.854,4.956,4.778,-0.5649,0,502.6,1,7,99.13,0.09756,4
AMDI0CILLIN,2.966,3.452,2.197,-1.722,4.524,3.435,-1.904,0,325.4,1,6,73.21,0.125,3
AMIFOSTINE,5.848,3.622,-0.3893,-2.611,3.877,3.698,-0.9764,0,214.2,4,5,95.58,0.6364,7
AMIKACIN,5.457,5.917,-3.225,-1.737,5.091,1.325,-1.541,1,585.6,13,18,331.9,0.2619,11
AMILORIDE,3.274,3.713,-0.792,-0.7875,3.989,2.367,-0.7117,1,229.6,5,8,156.8,0.2,3
AMI0CAPROIC ACID,6.59,4.05,-2.95,-1.979,4.056,2.94,-1.085,0,131.2,2,3,63.32,0.625,5
AMI0GLUTETHIMIDE,3.566,2.324,1.212,-0.06074,4.382,3.976,0.04943,0,232.3,2,4,72.19,0.1111,2
AMI0LEVULINIC ACID,6.056,4.132,-2.876,-3.029,3.745,2.639,-1.215,0,131.1,2,4,80.39,0.5,4
AMI0PHYLLINE,4.61,4.61,-0.01984,-0.01984,3.802,3.984,-0.4346,0,180.2,1,6,72.68,0,0
AMI0SALICYLIC ACID,3.887,3.983,1.195,-1.764,3.867,2.926,-0.5253,0,153.1,3,4,83.55,0.09091,1
AMIODARONE,0.2302,1.907,6.437,5.557,4.911,6.597,0.3017,1,645.3,0,4,42.68,0.3333,11
AMITRIPTYLINE,1.54,1.339,4.92,2.62,4.584,5.937,0.9981,0,277.4,0,1,3.24,0.1304,3
AMLEXA0X,2.436,3.586,2.277,0.7132,4.975,4.123,-1.098,0,298.3,2,6,106.4,0.08333,2
AMLODIPINE,1.995,2.794,3.3,2.25,5.054,4.171,-0.4141,1,408.9,2,7,99.88,0.3448,10
AMODIAQUINE,1.557,1.178,4.248,2.706,5.218,6.244,-0.661,1,355.9,2,4,48.39,0.2222,6
AMOXAPINE,2.98,2.182,2.79,1.693,5.433,5.217,0.3359,1,313.8,1,4,36.86,0.04,1
AMOXICILLIN,3.92,4.578,-1.99,-2.56,4.694,2.184,-1.766,0,365.4,4,8,133,0.1852,5
AMPHETAMINE,5.186,2.607,1.76,-0.4031,4.006,4.2,-0.007365,0,135.2,1,1,26.02,0.2,2
AMPHOTERICIN B,2.943,4.674,-1.194,1.039,5.042,3.038,-1.467,1,924.1,12,18,319.6,0.04478,3
AMPICILLIN,4.34,4.062,-1.42,-1.85,4.502,2.124,-1.718,0,349.4,3,7,112.7,0.1923,5
AMPRENAVIR,1.407,2.391,2.733,1.731,5.244,5.287,-0.56,1,505.6,3,9,131.2,0.3514,13
ANAGRELIDE,3.474,2.556,1.41,-0.1875,4.544,3.78,-0.04655,0,256.1,1,4,44.7,0,0
ANASTROZOLE,2.301,2.301,2.941,2.941,4.807,4.846,0.17,0,293.4,0,5,78.29,0.2609,6
ANILERIDINE,2.209,1.09,3.481,1.994,5.027,5.9,0.3922,1,352.5,1,4,55.56,0.25,7
ANISINDIONE,2.212,2.517,1.964,1.206,4.722,5.002,0.5435,0,252.3,0,3,43.37,0.09524,2
ANISOTROPINE,4.998,2.538,4.291,0.6686,4.414,5.701,0.9916,0,282.4,0,3,26.3,0.3333,7
ANTAZOLINE,3.4,1.058,3.315,0.9955,4.781,4.735,0.2251,0,265.4,1,3,27.63,0.2273,5
APOMORPHINE,3.464,1.684,2.366,1.522,4.657,5.457,-0.4098,0,267.3,2,3,43.7,0,0
APRACLONIDINE,2.847,2.847,1.177,0.9363,4.143,3.507,-0.4134,0,245.1,3,4,62.44,0.0625,1
APREPITANT,0.9838,0.6906,3.942,3.181,5.603,5.525,-0.1902,1,534.4,2,7,83.24,0.2,8
ARBUTAMINE,3.431,2.288,1.509,-0.3923,4.79,5.137,-0.4569,0,317.4,5,5,92.95,0.3333,8
ARGATROBAN,3.25,3.835,1.225,-0.5816,4.887,3.374,-1.844,1,508.6,6,11,177.7,0.2973,11
ARGININE,6.02,4.548,-4.2,-3.658,3.763,1.898,-1.418,0,174.2,5,6,125.2,0.5455,6
ARIPIPRAZOLE,2.195,1.377,4.261,3.763,5.393,6.444,0.7379,1,448.4,1,5,44.81,0.2121,7
ARSENIC TRIOXIDE,5.315,5.315,-0.4113,-0.4113,3.915,3.764,-0.24,0,197.8,0,3,43.37,0.5,2
ARTICAINE,3.304,3.068,2.576,0.9278,4.377,3.798,-0.4184,0,284.4,2,5,67.43,0.4211,8
ASCORBIC ACID,6.36,3.517,-1.918,-3.121,3.942,3.245,-1.167,0,176.1,4,6,107.2,0.1667,2
ASPIRIN,4.41,4.052,1.48,-2.57,3.972,3.353,-0.5,0,180.2,1,4,63.6,0.2308,3
ATAZANAVIR,1.031,1.371,3.553,3.683,5.327,3.939,-1.206,1,704.9,5,13,171.2,0.4151,22
ATE0LOL,4.821,2.812,0.2201,-0.44,4.032,3.876,-0.3738,0,266.3,3,5,84.58,0.4211,8
ATOMOXETINE,2.383,1.062,4.153,1.834,5.084,5.194,0.903,0,255.4,1,2,21.26,0.3,6
ATORVASTATIN,-0.3827,1.493,5.338,2.221,5.992,4.707,-1.204,1,558.6,4,7,111.8,0.2955,13
ATOVAQUONE,-0.4224,0.8033,5.302,2.123,5.034,5.064,0.2004,0,366.8,1,3,54.37,0.06897,2
ATRACURIUM,1.556,4.934,5.117,3.738,5.483,7.977,-0.2298,1,929.1,0,14,126.4,0.3611,26
ATROPINE,3.88,2.705,2.495,-0.66,4.397,5.08,0.4635,0,289.4,1,4,49.77,0.2174,5
AURA0FIN,1.797,1.797,2.788,2.788,4.712,3.838,-0.7191,0,678.5,0,9,114.4,0.4375,14
AVOBENZONE,1.692,2.201,3.533,2.301,5.242,5.471,0.7889,0,310.4,0,3,43.37,0.25,6
AZACITIDINE,4.651,2.918,-2.419,-2.17,4.101,3.486,-1.126,0,244.2,4,9,143.7,0.1111,2
AZATADINE,3.061,1.156,2.87,1.933,4.862,5.791,0.5532,1,290.4,0,2,16.13,0,0
AZATHIOPRINE,2.182,2.182,0.6842,0.6842,4.62,4.445,-1.251,1,277.3,1,9,118.1,0.1429,3
AZELAIC ACID,4.11,4.12,1.57,-1.986,3.973,2.883,-1.256,0,188.2,2,4,74.6,0.6667,8
AZELASTINE,1.237,1.239,4.52,3.562,4.844,6.724,-0.0979,1,381.9,0,4,38.13,0.1,3
AZITHROMYCIN,3.612,4.622,2.904,0.3301,5.057,4.58,-1.41,1,749,5,14,180.1,0.1296,7
AZLOCILLIN,2.047,3.532,0.7661,-0.2563,4.879,1.645,-1.698,1,461.5,4,11,148.1,0.2286,8
AZTREONAM,2.569,4.75,-0.4428,-2.551,4.648,1.984,-1.805,1,435.4,4,13,201.6,0.2759,8
BACAMPICILLIN,2.416,3.695,1.625,0.8903,4.653,3.184,-1.202,1,465.5,2,10,137.3,0.3235,11
BACITRACIN,3.23,3.814,-1.254,3.491,5.026,0.6571,-1.065,1,1423,17,33,530.9,0.3398,35
BACLOFEN,4.6,3.621,-0.9598,-0.9028,4.413,3.228,-1.163,0,213.7,2,3,63.32,0.2857,4
BALSALAZIDE,0.8325,4.511,2.162,-3.032,5.01,2.474,-1.064,0,357.3,4,9,148.6,0.2963,8
BECLOMETHASONE DIPROPIONATE,0.7177,0.7177,3.598,3.598,5.071,4.473,-0.8044,1,521,1,7,107,0.2051,8
BENAZEPRIL,2.683,2.495,1.278,-0.8898,4.969,3.688,-1.657,1,424.5,2,7,95.94,0.303,10
BENDROFLUMETHIAZIDE,2.41,3.422,1.678,1.648,5.275,4.925,-0.8451,0,421.4,3,7,118.4,0.1379,4
BE0XINATE,3.99,1.836,3.422,1.355,4.32,5.409,0.1671,1,308.4,1,5,64.79,0.5,11
BENTIROMIDE,1.949,3.341,2.439,-0.1066,5.396,3.628,-0.9112,1,404.4,4,7,115.7,0.2812,9
BENZOATE,4.812,3.374,1.87,-0.9539,4.091,3.462,-0.4794,0,122.1,1,2,37.3,0.1111,1
BENZONATATE,3.936,2.142,2.086,1.434,4.164,4.996,0.5537,0,177.2,1,2,29.1,0.3846,5
BENZOYL PEROXIDE,1.57,1.57,1.502,1.502,4.265,4.355,0.5654,0,242.2,0,4,52.6,0.2632,5
BENZPHETAMINE,3.345,1.331,3.851,2.675,4.669,5.639,1.181,0,239.4,0,1,3.24,0.2632,5
BENZQUINAMIDE,4.498,2.086,2.076,1.236,4.64,5.55,-0.0569,1,404.5,0,7,68.31,0.2581,8
BENZTHIAZIDE,1.724,3.933,1.815,1.377,5.235,4.717,-0.978,0,431.9,2,7,118.7,0.1786,5
BENZTROPINE,2.225,1.57,4.784,1.997,4.788,6.127,1.129,0,307.4,0,2,12.47,0.1538,4
BENZYL BENZOATE,2.479,2.479,3.97,3.97,4.626,4.856,0.7375,0,212.2,0,2,26.3,0.2353,4
BEPRIDIL,1.729,1.048,5.143,3.624,4.722,6.548,1.075,1,366.5,0,3,15.71,0.3448,10
BETA-CAROTENE,0.5181,0.5181,8.478,8.478,5.263,6.572,0.02821,1,536.9,0,0,0,0.2439,10
BETAINE,6.807,3.684,-0.5632,-2.945,3.997,3.345,-1.039,0,118.2,1,3,37.3,0.2857,2
BETAMETHASONE,2.111,2.111,2.01,2.01,4.685,4.461,-0.9676,1,392.5,3,5,94.83,0.06452,2
BETAMETHASONE ACETATE,1.1,1.1,2.577,2.577,4.856,4.43,-0.9129,0,434.5,2,6,100.9,0.1176,4
BETAMETHASONE DIPROPIONATE,0.778,0.778,3.493,3.493,5.076,4.496,-0.8095,1,504.6,1,7,107,0.2051,8
BETAMETHASONE PHOSPHATE,2.133,3.651,1.668,-0.1523,4.773,4.289,-1.252,0,472.4,4,8,141.4,0.1143,4
BETAMETHASONE VALERATE,1.29,1.29,3.389,3.389,4.911,4.758,-0.8663,0,476.6,2,6,100.9,0.1892,7
BETAXOLOL,3.355,1.774,2.81,1.002,4.465,5.288,0.39,0,307.4,2,4,50.72,0.4783,11
BETAZOLE,5.877,3.349,-0.7001,-2.123,3.754,3.49,-0.7759,0,111.1,2,3,54.7,0.25,2
BETHANECHOL,6.81,3.008,0.8558,-1.589,4.01,4.217,-0.1877,0,161.2,1,4,52.32,0.4,4
BETHANIDINE,4.72,2.931,1.012,-0.2251,3.727,3.743,-1.325,0,177.2,2,3,36.42,0.3077,4
BEXAROTENE,-0.9818,1.147,6.719,2.124,5.443,4.555,-0.5902,0,348.5,1,2,37.3,0.1071,3
BICALUTAMIDE,0.4052,0.4052,3.779,3.779,5.754,4.975,-0.4566,0,430.4,2,6,107.3,0.2667,8
BIMATOPROST,2.981,2.981,3.044,3.044,4.8,5.299,-0.2967,1,415.6,4,5,89.79,0.4194,13
BIOTIN,2.95,4.051,0.7493,-1.659,3.663,2.915,-1.681,0,244.3,3,5,78.43,0.2941,5
BIPERIDEN,3.753,1.267,4.25,1.654,4.423,6.024,0.849,0,311.5,1,2,23.47,0.1923,5
BISACODYL,0.4766,0.4766,3.631,3.631,5.825,5.112,0.117,0,361.4,0,5,65.49,0.2414,7
BISMUTH SUBSALICYLATE,1.777,1.777,-0.1403,-0.1403,3.988,3.613,0.03579,0,362.1,1,4,55.76,0,0
BISOPROLOL,3.723,2.063,1.87,0.6247,4.351,5.029,0.6225,1,325.4,2,5,59.95,0.5217,12
BITOLTEROL,2.258,1.849,4.463,2.61,6.123,5.793,0.3569,0,461.6,2,6,84.86,0.2778,10
BIVALIRUDIN,4.703,7.133,-3.259,5.018,4.824,1.778,-1.245,1,2180,28,57,901.6,0.5375,86
BORTEZOMIB,2.172,2.172,1.737,1.737,4.555,3.798,-0.7009,1,384.2,4,8,124.4,0.3793,11
BOSENTAN,-0.3271,-0.3271,4.295,4.295,6.314,5.984,-0.8732,1,551.6,2,11,145.6,0.2619,11
BRETYLIUM,4.477,1.865,3.43,0.8177,4.333,5.291,0.5228,0,243.2,0,1,0,0.2308,3
BRIMONIDINE,2.532,2.532,1.892,-0.3635,4.415,4.392,-1.043,0,292.1,2,5,62.2,0.1053,2
BRINZOLAMIDE,3.397,3.72,0.973,-0.3903,4.495,4.697,-0.9366,1,383.5,2,8,118.8,0.2917,7
